Nama_Aset,Lokasi,Luas_m2,Sertifikat,Lokasi_Pasti,Kondisi,Tipe_Iklan,NJOP_Rp_per_m2,Jumlah_Penduduk,Aksesibilitas
Benowo,"Jalan Soekarno Hatta, Benowo, Surabaya",830,HGB,"Jalan Soekarno Hatta, Benowo, Surabaya (-7.279337, 112.726767)",Second,Dijual,,69938.0,Baik
Tambaksari,"Gang Sadang Serang, Tambaksari, Surabaya",1280,SHM,"Gang Sadang Serang, Tambaksari, Surabaya (-7.288999, 112.791160)",Second,Disewa,,214966.0,Baik
Gubeng,"Jalan HOS. Cokroaminoto, Gubeng, Surabaya",1358,SHM,"Jalan HOS. Cokroaminoto, Gubeng, Surabaya (-7.318709, 112.736826)",Second,Dijual,1147000.0,123961.0,Baik
Tandes,"Jl. Kebonjati, Tandes, Surabaya",1551,Girik,"Jl. Kebonjati, Tandes, Surabaya (-7.322890, 112.704555)",Second,Disewa,,87511.0,Baik
Semampir,"Jl. Raya Setiabudhi, Semampir, Surabaya",1474,Girik,"Jl. Raya Setiabudhi, Semampir, Surabaya (-7.290233, 112.730023)",Second,Disewa/Dijual,,172669.0,Baik
Pabean Cantikan,"Gang Rumah Sakit, Pabean Cantikan, Surabaya",1220,Belum Bersertifikat,"Gang Rumah Sakit, Pabean Cantikan, Surabaya (-7.263390, 112.753111)",Second,Disewa/Dijual,,,Buruk
Sawahan,"Jl. Lembong, Sawahan, Surabaya",1825,HGB,"Jl. Lembong, Sawahan, Surabaya (-7.255327, 112.740822)",Second,Disewa,1032000.0,188693.0,Buruk
Sambikerep,"Jalan Jakarta, Sambikerep, Surabaya",742,HGB,"Jalan Jakarta, Sambikerep, Surabaya (-7.339409, 112.727384)",Second,Disewa,,63778.0,Baik
Gubeng,"Jl. K.H. Wahid Hasyim, Gubeng, Surabaya",959,Girik,"Jl. K.H. Wahid Hasyim, Gubeng, Surabaya (-7.334517, 112.713132)",Second,Disewa,1147000.0,123961.0,Baik
Wonokromo,"Jl. Kutisari Selatan, Wonokromo, Surabaya",1977,Belum Bersertifikat,"Jl. Kutisari Selatan, Wonokromo, Surabaya (-7.255526, 112.781916)",Second,Dijual,,144650.0,Buruk
Tegalsari,"Gg. Soekarno Hatta, Tegalsari, Surabaya",796,HGB,"Gg. Soekarno Hatta, Tegalsari, Surabaya (-7.276346, 112.799615)",Second,Disewa/Dijual,,92014.0,Baik
Krembangan,"Jalan Merdeka, Krembangan, Surabaya",1055,Belum Bersertifikat,"Jalan Merdeka, Krembangan, Surabaya (-7.261701, 112.732954)",Second,Disewa/Dijual,,109027.0,Buruk
Rungkut,"Jalan Ahmad Dahlan, Rungkut, Surabaya",904,SHM,"Jalan Ahmad Dahlan, Rungkut, Surabaya (-7.329737, 112.738162)",Second,Dijual,,123757.0,Baik
Pabean Cantikan,"Jl. Otto Iskandardinata, Pabean Cantikan, Surabaya",1221,Belum Bersertifikat,"Jl. Otto Iskandardinata, Pabean Cantikan, Surabaya (-7.291241, 112.761804)",Second,Disewa,,,Baik
Dukuh Pakis,"Gang Jend. A. Yani, Dukuh Pakis, Surabaya",760,HGB,"Gang Jend. A. Yani, Dukuh Pakis, Surabaya (-7.279886, 112.771844)",Second,Disewa/Dijual,,56707.0,Baik
Pakal,"Gg. Jend. A. Yani, Pakal, Surabaya",924,Girik,"Gg. Jend. A. Yani, Pakal, Surabaya (-7.281989, 112.739203)",Second,Dijual,,59971.0,Baik
Krembangan,"Gg. Sukajadi, Krembangan, Surabaya",1684,SHM,"Gg. Sukajadi, Krembangan, Surabaya (-7.309185, 112.790493)",Second,Disewa,,109027.0,Baik
Tegalsari,"Jalan Raya Ujungberung, Tegalsari, Surabaya",732,Belum Bersertifikat,"Jalan Raya Ujungberung, Tegalsari, Surabaya (-7.348461, 112.756000)",Second,Disewa/Dijual,,92014.0,Baik
Rungkut,"Jalan Kendalsari, Rungkut, Surabaya",866,SHM,"Jalan Kendalsari, Rungkut, Surabaya (-7.291707, 112.745039)",Second,Disewa,,123757.0,Baik
Wonokromo,"Jalan Kapten Muslihat, Wonokromo, Surabaya",1180,Girik,"Jalan Kapten Muslihat, Wonokromo, Surabaya (-7.324690, 112.764667)",Second,Dijual,,144650.0,Baik
Pakal,"Gang Jakarta, Pakal, Surabaya",750,SHM,"Gang Jakarta, Pakal, Surabaya (-7.304975, 112.795280)",Second,Disewa/Dijual,,59971.0,Baik
Gubeng,"Gang Astana Anyar, Gubeng, Surabaya",874,Belum Bersertifikat,"Gang Astana Anyar, Gubeng, Surabaya (-7.254242, 112.779455)",Second,Disewa,1147000.0,123961.0,Buruk
Tegalsari,"Jalan Suryakencana, Tegalsari, Surabaya",1805,SHM,"Jalan Suryakencana, Tegalsari, Surabaya (-7.310096, 112.704001)",Second,Disewa,,92014.0,Baik
Bulak,"Gg. Rajawali Timur, Bulak, Surabaya",1405,HGB,"Gg. Rajawali Timur, Bulak, Surabaya (-7.266020, 112.733231)",Second,Disewa,,43764.0,Buruk
Sawahan,"Gg. Gedebage Selatan, Sawahan, Surabaya",1431,Girik,"Gg. Gedebage Selatan, Sawahan, Surabaya (-7.331146, 112.747054)",Second,Dijual,1032000.0,188693.0,Baik
Benowo,"Jl. Cikutra Barat, Benowo, Surabaya",1508,Girik,"Jl. Cikutra Barat, Benowo, Surabaya (-7.282754, 112.731452)",Second,Disewa,,69938.0,Baik
Sukolilo,"Gang Ahmad Yani, Sukolilo, Surabaya",1970,SHM,"Gang Ahmad Yani, Sukolilo, Surabaya (-7.252299, 112.770019)",Second,Disewa/Dijual,,110557.0,Buruk
Krembangan,"Jalan Medokan Ayu, Krembangan, Surabaya",1309,Belum Bersertifikat,"Jalan Medokan Ayu, Krembangan, Surabaya (-7.339811, 112.782627)",Second,Disewa/Dijual,,109027.0,Baik
Gubeng,"Jl. Gardujati, Gubeng, Surabaya",1141,Girik,"Jl. Gardujati, Gubeng, Surabaya (-7.349168, 112.773135)",Second,Disewa,1147000.0,123961.0,Baik
Sawahan,"Gang H.J Maemunah, Sawahan, Surabaya",1051,Girik,"Gang H.J Maemunah, Sawahan, Surabaya (-7.306642, 112.798933)",Second,Dijual,1032000.0,188693.0,Baik
Asemrowo,"Jalan Pasteur, Asemrowo, Surabaya",1898,SHM,"Jalan Pasteur, Asemrowo, Surabaya (-7.340737, 112.727255)",Second,Disewa/Dijual,916000.0,45547.0,Baik
Semampir,"Jl. Cihampelas, Semampir, Surabaya",779,Girik,"Jl. Cihampelas, Semampir, Surabaya (-7.275162, 112.787499)",Second,Disewa/Dijual,,172669.0,Baik
Genteng,"Jalan Otto Iskandardinata, Genteng, Surabaya",1510,SHM,"Jalan Otto Iskandardinata, Genteng, Surabaya (-7.258545, 112.776662)",Second,Disewa/Dijual,,52924.0,Buruk
Pakal,"Jalan Sukajadi, Pakal, Surabaya",1237,Belum Bersertifikat,"Jalan Sukajadi, Pakal, Surabaya (-7.306598, 112.736218)",Second,Disewa,,59971.0,Baik
Karang Pilang,"Gg. Waringin, Karang Pilang, Surabaya",1041,Girik,"Gg. Waringin, Karang Pilang, Surabaya (-7.324129, 112.773412)",Second,Disewa/Dijual,862000.0,,Baik
Sawahan,"Gg. Peta, Sawahan, Surabaya",1956,SHM,"Gg. Peta, Sawahan, Surabaya (-7.306560, 112.710408)",Second,Disewa,1032000.0,188693.0,Baik
Tegalsari,"Gg. Rajawali Timur, Tegalsari, Surabaya",1542,SHM,"Gg. Rajawali Timur, Tegalsari, Surabaya (-7.277655, 112.778933)",Second,Disewa,,92014.0,Baik
Karang Pilang,"Jalan Lembong, Karang Pilang, Surabaya",883,Belum Bersertifikat,"Jalan Lembong, Karang Pilang, Surabaya (-7.349095, 112.753233)",Second,Disewa,862000.0,,Baik
Lakarsantri,"Gang W.R. Supratman, Lakarsantri, Surabaya",1601,SHM,"Gang W.R. Supratman, Lakarsantri, Surabaya (-7.291055, 112.729229)",Second,Disewa,,59256.0,Baik
Bulak,"Gg. Cempaka, Bulak, Surabaya",1374,Girik,"Gg. Cempaka, Bulak, Surabaya (-7.288671, 112.765578)",Second,Disewa,,43764.0,Baik
Genteng,"Gg. PHH. Mustofa, Genteng, Surabaya",1661,SHM,"Gg. PHH. Mustofa, Genteng, Surabaya (-7.286231, 112.764162)",Second,Disewa/Dijual,,52924.0,Baik
Genteng,"Gang Cempaka, Genteng, Surabaya",877,SHM,"Gang Cempaka, Genteng, Surabaya (-7.325798, 112.720949)",Second,Disewa,,52924.0,Baik
Kenjeran,"Gg. Dipenogoro, Kenjeran, Surabaya",1790,Girik,"Gg. Dipenogoro, Kenjeran, Surabaya (-7.278595, 112.703040)",Second,Disewa,,181325.0,Baik
Karang Pilang,"Jalan Jend. Sudirman, Karang Pilang, Surabaya",943,Girik,"Jalan Jend. Sudirman, Karang Pilang, Surabaya (-7.340861, 112.743362)",Second,Disewa,862000.0,,Baik
Rungkut,"Jl. Jayawijaya, Rungkut, Surabaya",1647,Girik,"Jl. Jayawijaya, Rungkut, Surabaya (-7.330073, 112.756951)",Second,Disewa,,123757.0,Baik
Simokerto,"Jl. R.E Martadinata, Simokerto, Surabaya",1700,SHM,"Jl. R.E Martadinata, Simokerto, Surabaya (-7.262253, 112.787661)",Second,Disewa,,86897.0,Buruk
Gubeng,"Gang Sentot Alibasa, Gubeng, Surabaya",1876,Girik,"Gang Sentot Alibasa, Gubeng, Surabaya (-7.276128, 112.792822)",Second,Disewa,1147000.0,123961.0,Baik
Genteng,"Jl. R.E Martadinata, Genteng, Surabaya",1552,HGB,"Jl. R.E Martadinata, Genteng, Surabaya (-7.348625, 112.752881)",Second,Disewa/Dijual,,52924.0,Baik
Kenjeran,"Jalan Rumah Sakit, Kenjeran, Surabaya",776,Belum Bersertifikat,"Jalan Rumah Sakit, Kenjeran, Surabaya (-7.325162, 112.775380)",Second,Disewa,,181325.0,Baik
Benowo,"Jalan Ciwastra, Benowo, Surabaya",1378,Girik,"Jalan Ciwastra, Benowo, Surabaya (-7.328559, 112.743930)",Second,Disewa,,69938.0,Baik
Benowo,"Gg. Suryakencana, Benowo, Surabaya",812,Girik,"Gg. Suryakencana, Benowo, Surabaya (-7.322919, 112.774608)",Second,Disewa/Dijual,,69938.0,Baik
Benowo,"Jl. Kebonjati, Benowo, Surabaya",1976,Girik,"Jl. Kebonjati, Benowo, Surabaya (-7.325244, 112.720480)",Second,Disewa/Dijual,,69938.0,Baik
Wonokromo,"Gg. Kapten Muslihat, Wonokromo, Surabaya",1870,Girik,"Gg. Kapten Muslihat, Wonokromo, Surabaya (-7.343747, 112.737106)",Second,Dijual,,144650.0,Baik
Semampir,"Jl. Soekarno Hatta, Semampir, Surabaya",867,HGB,"Jl. Soekarno Hatta, Semampir, Surabaya (-7.304106, 112.763423)",Second,Disewa/Dijual,,172669.0,Baik
Simokerto,"Jalan Suniaraja, Simokerto, Surabaya",952,Girik,"Jalan Suniaraja, Simokerto, Surabaya (-7.276727, 112.701816)",Second,Disewa/Dijual,,86897.0,Baik
Pabean Cantikan,"Jl. Rungkut Industri, Pabean Cantikan, Surabaya",1900,Girik,"Jl. Rungkut Industri, Pabean Cantikan, Surabaya (-7.289327, 112.772246)",Second,Disewa,,,Baik
Lakarsantri,"Gg. Astana Anyar, Lakarsantri, Surabaya",1372,Belum Bersertifikat,"Gg. Astana Anyar, Lakarsantri, Surabaya (-7.282713, 112.783554)",Second,Dijual,,59256.0,Baik
Karang Pilang,"Jalan Cihampelas, Karang Pilang, Surabaya",976,SHM,"Jalan Cihampelas, Karang Pilang, Surabaya (-7.341885, 112.739914)",Second,Disewa,862000.0,,Baik
Karang Pilang,"Gang Gedebage Selatan, Karang Pilang, Surabaya",1269,Girik,"Gang Gedebage Selatan, Karang Pilang, Surabaya (-7.254851, 112.744794)",Second,Dijual,862000.0,,Buruk
Pakal,"Gang M.T Haryono, Pakal, Surabaya",1820,HGB,"Gang M.T Haryono, Pakal, Surabaya (-7.266151, 112.785128)",Second,Disewa,,59971.0,Buruk
Gubeng,"Gang Ciumbuleuit, Gubeng, Surabaya",1047,Girik,"Gang Ciumbuleuit, Gubeng, Surabaya (-7.269491, 112.777565)",Second,Disewa/Dijual,1147000.0,123961.0,Buruk
Kenjeran,"Jalan BKR, Kenjeran, Surabaya",1835,HGB,"Jalan BKR, Kenjeran, Surabaya (-7.267702, 112.728815)",Second,Disewa/Dijual,,181325.0,Buruk
Asemrowo,"Jl. Jayawijaya, Asemrowo, Surabaya",1346,HGB,"Jl. Jayawijaya, Asemrowo, Surabaya (-7.256729, 112.732398)",Second,Dijual,916000.0,45547.0,Buruk
Rungkut,"Gg. Ir. H. Djuanda, Rungkut, Surabaya",1776,Girik,"Gg. Ir. H. Djuanda, Rungkut, Surabaya (-7.295575, 112.767888)",Second,Disewa,,123757.0,Baik
Tandes,"Jl. Kapten Muslihat, Tandes, Surabaya",1612,Belum Bersertifikat,"Jl. Kapten Muslihat, Tandes, Surabaya (-7.329972, 112.756320)",Second,Disewa,,87511.0,Baik
Tambaksari,"Gg. Jamika, Tambaksari, Surabaya",1151,Girik,"Gg. Jamika, Tambaksari, Surabaya (-7.288322, 112.716223)",Second,Disewa/Dijual,,214966.0,Baik
Wonokromo,"Jl. Pasir Koja, Wonokromo, Surabaya",1270,Girik,"Jl. Pasir Koja, Wonokromo, Surabaya (-7.275712, 112.730993)",Second,Disewa/Dijual,,144650.0,Baik
Karang Pilang,"Jalan Lembong, Karang Pilang, Surabaya",1652,SHM,"Jalan Lembong, Karang Pilang, Surabaya (-7.276208, 112.789998)",Second,Dijual,862000.0,,Baik
Genteng,"Jalan KH Amin Jasuta, Genteng, Surabaya",953,Belum Bersertifikat,"Jalan KH Amin Jasuta, Genteng, Surabaya (-7.297855, 112.768817)",Second,Disewa/Dijual,,52924.0,Baik
Lakarsantri,"Jalan Ciumbuleuit, Lakarsantri, Surabaya",1041,SHM,"Jalan Ciumbuleuit, Lakarsantri, Surabaya (-7.343154, 112.798597)",Second,Dijual,,59256.0,Baik
Sambikerep,"Jl. PHH. Mustofa, Sambikerep, Surabaya",839,Girik,"Jl. PHH. Mustofa, Sambikerep, Surabaya (-7.312889, 112.776701)",Second,Dijual,,63778.0,Baik
Tambaksari,"Gang Kiaracondong, Tambaksari, Surabaya",1833,SHM,"Gang Kiaracondong, Tambaksari, Surabaya (-7.257923, 112.794197)",Second,Dijual,,214966.0,Buruk
Bulak,"Gang Jend. Sudirman, Bulak, Surabaya",1027,Belum Bersertifikat,"Gang Jend. Sudirman, Bulak, Surabaya (-7.291555, 112.721619)",Second,Dijual,,43764.0,Baik
Tegalsari,"Gang Ahmad Yani, Tegalsari, Surabaya",1685,HGB,"Gang Ahmad Yani, Tegalsari, Surabaya (-7.296167, 112.777148)",Second,Disewa/Dijual,,92014.0,Baik
Simokerto,"Jalan Rajawali Timur, Simokerto, Surabaya",1380,Girik,"Jalan Rajawali Timur, Simokerto, Surabaya (-7.323115, 112.702022)",Second,Dijual,,86897.0,Baik
Karang Pilang,"Gang Setiabudhi, Karang Pilang, Surabaya",710,Belum Bersertifikat,"Gang Setiabudhi, Karang Pilang, Surabaya (-7.313155, 112.767076)",Second,Disewa/Dijual,862000.0,,Baik
Semampir,"Gang BKR, Semampir, Surabaya",955,SHM,"Gang BKR, Semampir, Surabaya (-7.260465, 112.746928)",Second,Dijual,,172669.0,Buruk
Tegalsari,"Jl. W.R. Supratman, Tegalsari, Surabaya",1344,Girik,"Jl. W.R. Supratman, Tegalsari, Surabaya (-7.283354, 112.734676)",Second,Disewa/Dijual,,92014.0,Baik
Benowo,"Gang Laswi, Benowo, Surabaya",1302,SHM,"Gang Laswi, Benowo, Surabaya (-7.271261, 112.786240)",Second,Dijual,,69938.0,Baik
Lakarsantri,"Jl. Jamika, Lakarsantri, Surabaya",1672,Girik,"Jl. Jamika, Lakarsantri, Surabaya (-7.304565, 112.785427)",Second,Disewa/Dijual,,59256.0,Baik
Benowo,"Jl. Otto Iskandardinata, Benowo, Surabaya",803,HGB,"Jl. Otto Iskandardinata, Benowo, Surabaya (-7.286975, 112.702230)",Second,Disewa,,69938.0,Baik
Dukuh Pakis,"Jl. R.E Martadinata, Dukuh Pakis, Surabaya",830,HGB,"Jl. R.E Martadinata, Dukuh Pakis, Surabaya (-7.325162, 112.760951)",Second,Dijual,,56707.0,Baik
Gubeng,"Gang Cikapayang, Gubeng, Surabaya",1683,SHM,"Gang Cikapayang, Gubeng, Surabaya (-7.279454, 112.736783)",Second,Dijual,1147000.0,123961.0,Baik
Sambikerep,"Jalan Cihampelas, Sambikerep, Surabaya",1759,SHM,"Jalan Cihampelas, Sambikerep, Surabaya (-7.307240, 112.741566)",Second,Disewa,,63778.0,Baik
Sukolilo,"Gang Cihampelas, Sukolilo, Surabaya",740,HGB,"Gang Cihampelas, Sukolilo, Surabaya (-7.305745, 112.783204)",Second,Disewa,,110557.0,Baik
Benowo,"Gang Setiabudhi, Benowo, Surabaya",1852,Belum Bersertifikat,"Gang Setiabudhi, Benowo, Surabaya (-7.285068, 112.730984)",Second,Dijual,,69938.0,Baik
Dukuh Pakis,"Jalan Soekarno Hatta, Dukuh Pakis, Surabaya",730,Belum Bersertifikat,"Jalan Soekarno Hatta, Dukuh Pakis, Surabaya (-7.256372, 112.794305)",Second,Disewa/Dijual,,56707.0,Buruk
Tandes,"Jalan Dr. Djunjunan, Tandes, Surabaya",889,HGB,"Jalan Dr. Djunjunan, Tandes, Surabaya (-7.343599, 112.717963)",Second,Dijual,,87511.0,Baik
Sawahan,"Jl. Moch. Toha, Sawahan, Surabaya",1403,SHM,"Jl. Moch. Toha, Sawahan, Surabaya (-7.267526, 112.766272)",Second,Disewa/Dijual,1032000.0,188693.0,Buruk
Sukolilo,"Gang Sentot Alibasa, Sukolilo, Surabaya",1051,SHM,"Gang Sentot Alibasa, Sukolilo, Surabaya (-7.320762, 112.767211)",Second,Disewa,,110557.0,Baik
Benowo,"Gg. Kutisari Selatan, Benowo, Surabaya",1780,Girik,"Gg. Kutisari Selatan, Benowo, Surabaya (-7.305608, 112.725220)",Second,Disewa/Dijual,,69938.0,Baik
Kenjeran,"Jalan Cikapayang, Kenjeran, Surabaya",1586,Girik,"Jalan Cikapayang, Kenjeran, Surabaya (-7.347809, 112.732475)",Second,Dijual,,181325.0,Baik
Lakarsantri,"Jl. Dipenogoro, Lakarsantri, Surabaya",994,Belum Bersertifikat,"Jl. Dipenogoro, Lakarsantri, Surabaya (-7.319895, 112.783480)",Second,Disewa,,59256.0,Baik
Rungkut,"Gg. Dipatiukur, Rungkut, Surabaya",1589,SHM,"Gg. Dipatiukur, Rungkut, Surabaya (-7.299737, 112.776181)",Second,Disewa,,123757.0,Baik
Genteng,"Gang Moch. Toha, Genteng, Surabaya",1468,HGB,"Gang Moch. Toha, Genteng, Surabaya (-7.344382, 112.732910)",Second,Dijual,,52924.0,Baik
Simokerto,"Gg. Wonoayu, Simokerto, Surabaya",1337,Girik,"Gg. Wonoayu, Simokerto, Surabaya (-7.300890, 112.753396)",Second,Dijual,,86897.0,Baik
Benowo,"Gang Cikapayang, Benowo, Surabaya",1415,Girik,"Gang Cikapayang, Benowo, Surabaya (-7.257289, 112.706168)",Second,Disewa,,69938.0,Buruk
Dukuh Pakis,"Jl. Rajiman, Dukuh Pakis, Surabaya",1656,Belum Bersertifikat,"Jl. Rajiman, Dukuh Pakis, Surabaya (-7.339461, 112.720875)",Second,Disewa/Dijual,,56707.0,Baik
Tandes,"Jalan Peta, Tandes, Surabaya",1860,HGB,"Jalan Peta, Tandes, Surabaya (-7.273556, 112.748582)",Second,Disewa/Dijual,,87511.0,Baik
Sawahan,"Jalan Dipenogoro, Sawahan, Surabaya",881,HGB,"Jalan Dipenogoro, Sawahan, Surabaya (-7.309033, 112.708597)",Second,Disewa/Dijual,1032000.0,188693.0,Baik
Pabean Cantikan,"Jalan Stasiun Wonokromo, Pabean Cantikan, Surabaya",969,SHM,"Jalan Stasiun Wonokromo, Pabean Cantikan, Surabaya (-7.284483, 112.784333)",Second,Dijual,,,Baik
Tambaksari,"Jl. Stasiun Wonokromo, Tambaksari, Surabaya",1292,Belum Bersertifikat,"Jl. Stasiun Wonokromo, Tambaksari, Surabaya (-7.323976, 112.771801)",Second,Disewa,,214966.0,Baik
Gubeng,"Jl. Cihampelas, Gubeng, Surabaya",832,HGB,"Jl. Cihampelas, Gubeng, Surabaya (-7.334051, 112.794363)",Second,Disewa/Dijual,1147000.0,123961.0,Baik
Lakarsantri,"Jl. Ahmad Yani, Lakarsantri, Surabaya",1590,HGB,"Jl. Ahmad Yani, Lakarsantri, Surabaya (-7.333954, 112.769347)",Second,Disewa,,59256.0,Baik
Sambikerep,"Gg. Kebonjati, Sambikerep, Surabaya",1034,SHM,"Gg. Kebonjati, Sambikerep, Surabaya (-7.342951, 112.794040)",Second,Disewa/Dijual,,63778.0,Baik
Tandes,"Gang Peta, Tandes, Surabaya",1241,SHM,"Gang Peta, Tandes, Surabaya (-7.331435, 112.755451)",Second,Disewa,,87511.0,Baik
Karang Pilang,"Gg. Cihampelas, Karang Pilang, Surabaya",964,Girik,"Gg. Cihampelas, Karang Pilang, Surabaya (-7.283578, 112.760022)",Second,Dijual,862000.0,,Baik
Sukolilo,"Gg. Rajawali Barat, Sukolilo, Surabaya",1256,SHM,"Gg. Rajawali Barat, Sukolilo, Surabaya (-7.261831, 112.797697)",Second,Dijual,,110557.0,Buruk
Genteng,"Gg. Ronggowarsito, Genteng, Surabaya",1021,Belum Bersertifikat,"Gg. Ronggowarsito, Genteng, Surabaya (-7.268587, 112.764213)",Second,Dijual,,52924.0,Buruk
Semampir,"Jl. Rumah Sakit, Semampir, Surabaya",1178,Belum Bersertifikat,"Jl. Rumah Sakit, Semampir, Surabaya (-7.281487, 112.703079)",Second,Disewa/Dijual,,172669.0,Baik
Semampir,"Gang Kendalsari, Semampir, Surabaya",1542,HGB,"Gang Kendalsari, Semampir, Surabaya (-7.338957, 112.772380)",Second,Dijual,,172669.0,Baik
Sambikerep,"Gg. HOS. Cokroaminoto, Sambikerep, Surabaya",928,Girik,"Gg. HOS. Cokroaminoto, Sambikerep, Surabaya (-7.321081, 112.790547)",Second,Dijual,,63778.0,Baik
Tandes,"Gang Stasiun Wonokromo, Tandes, Surabaya",1544,SHM,"Gang Stasiun Wonokromo, Tandes, Surabaya (-7.319019, 112.779558)",Second,Dijual,,87511.0,Baik
Wonokromo,"Jalan Dipenogoro, Wonokromo, Surabaya",1699,Girik,"Jalan Dipenogoro, Wonokromo, Surabaya (-7.325004, 112.758383)",Second,Disewa,,144650.0,Baik
Kenjeran,"Gang Bangka Raya, Kenjeran, Surabaya",1967,SHM,"Gang Bangka Raya, Kenjeran, Surabaya (-7.298499, 112.767130)",Second,Disewa,,181325.0,Baik
Tambaksari,"Jl. Jamika, Tambaksari, Surabaya",886,HGB,"Jl. Jamika, Tambaksari, Surabaya (-7.296445, 112.799019)",Second,Disewa,,214966.0,Baik
Benowo,"Jalan Moch. Toha, Benowo, Surabaya",1649,Belum Bersertifikat,"Jalan Moch. Toha, Benowo, Surabaya (-7.314311, 112.709066)",Second,Disewa,,69938.0,Baik
Bulak,"Jl. Raya Ujungberung, Bulak, Surabaya",1065,SHM,"Jl. Raya Ujungberung, Bulak, Surabaya (-7.314621, 112.766724)",Second,Disewa,,43764.0,Baik
Sawahan,"Gang Moch. Toha, Sawahan, Surabaya",1385,Belum Bersertifikat,"Gang Moch. Toha, Sawahan, Surabaya (-7.267144, 112.728340)",Second,Disewa,1032000.0,188693.0,Buruk
Rungkut,"Jalan Antapani Lama, Rungkut, Surabaya",1220,SHM,"Jalan Antapani Lama, Rungkut, Surabaya (-7.271071, 112.764009)",Second,Disewa,,123757.0,Baik
Pakal,"Gg. Ciwastra, Pakal, Surabaya",1754,Belum Bersertifikat,"Gg. Ciwastra, Pakal, Surabaya (-7.319220, 112.760762)",Second,Dijual,,59971.0,Baik
Sawahan,"Jalan Stasiun Wonokromo, Sawahan, Surabaya",1458,Belum Bersertifikat,"Jalan Stasiun Wonokromo, Sawahan, Surabaya (-7.258621, 112.715346)",Second,Dijual,1032000.0,188693.0,Buruk
Kenjeran,"Gg. Raya Setiabudhi, Kenjeran, Surabaya",937,HGB,"Gg. Raya Setiabudhi, Kenjeran, Surabaya (-7.254718, 112.720675)",Second,Disewa/Dijual,,181325.0,Buruk
Pakal,"Jalan Cihampelas, Pakal, Surabaya",1965,SHM,"Jalan Cihampelas, Pakal, Surabaya (-7.317326, 112.762163)",Second,Dijual,,59971.0,Baik
Asemrowo,"Gg. Surapati, Asemrowo, Surabaya",878,Belum Bersertifikat,"Gg. Surapati, Asemrowo, Surabaya (-7.314558, 112.712823)",Second,Disewa,916000.0,45547.0,Baik
Dukuh Pakis,"Jl. Abdul Muis, Dukuh Pakis, Surabaya",744,HGB,"Jl. Abdul Muis, Dukuh Pakis, Surabaya (-7.299437, 112.726518)",Second,Disewa,,56707.0,Baik
Tegalsari,"Gang Cihampelas, Tegalsari, Surabaya",1622,Belum Bersertifikat,"Gang Cihampelas, Tegalsari, Surabaya (-7.255888, 112.783525)",Second,Disewa/Dijual,,92014.0,Buruk
Semampir,"Gg. Gegerkalong Hilir, Semampir, Surabaya",1384,SHM,"Gg. Gegerkalong Hilir, Semampir, Surabaya (-7.262368, 112.732709)",Second,Dijual,,172669.0,Buruk
Karang Pilang,"Jalan Ciumbuleuit, Karang Pilang, Surabaya",1850,Girik,"Jalan Ciumbuleuit, Karang Pilang, Surabaya (-7.339743, 112.748806)",Second,Dijual,862000.0,,Baik
Tegalsari,"Gang Joyoboyo, Tegalsari, Surabaya",1782,HGB,"Gang Joyoboyo, Tegalsari, Surabaya (-7.310727, 112.794114)",Second,Disewa/Dijual,,92014.0,Baik
Dukuh Pakis,"Jl. Pasir Koja, Dukuh Pakis, Surabaya",802,SHM,"Jl. Pasir Koja, Dukuh Pakis, Surabaya (-7.294663, 112.722715)",Second,Disewa,,56707.0,Baik
Wonokromo,"Jalan Dr. Djunjunan, Wonokromo, Surabaya",1194,HGB,"Jalan Dr. Djunjunan, Wonokromo, Surabaya (-7.299687, 112.738963)",Second,Disewa,,144650.0,Baik
Tegalsari,"Jalan M.H Thamrin, Tegalsari, Surabaya",1832,SHM,"Jalan M.H Thamrin, Tegalsari, Surabaya (-7.330614, 112.760646)",Second,Disewa,,92014.0,Baik
Dukuh Pakis,"Jl. Jend. Sudirman, Dukuh Pakis, Surabaya",1777,Girik,"Jl. Jend. Sudirman, Dukuh Pakis, Surabaya (-7.264118, 112.775534)",Second,Disewa,,56707.0,Buruk
Pakal,"Jalan Moch. Toha, Pakal, Surabaya",1635,HGB,"Jalan Moch. Toha, Pakal, Surabaya (-7.282306, 112.790165)",Second,Disewa/Dijual,,59971.0,Baik
Sambikerep,"Gg. KH Amin Jasuta, Sambikerep, Surabaya",1808,Belum Bersertifikat,"Gg. KH Amin Jasuta, Sambikerep, Surabaya (-7.266209, 112.791547)",Second,Dijual,,63778.0,Buruk
Asemrowo,"Gg. Jamika, Asemrowo, Surabaya",869,HGB,"Gg. Jamika, Asemrowo, Surabaya (-7.264124, 112.777664)",Second,Disewa,916000.0,45547.0,Buruk
Pakal,"Jalan Abdul Muis, Pakal, Surabaya",1329,SHM,"Jalan Abdul Muis, Pakal, Surabaya (-7.275164, 112.722833)",Second,Dijual,,59971.0,Baik
Dukuh Pakis,"Jl. Tebet Barat Dalam, Dukuh Pakis, Surabaya",1068,Belum Bersertifikat,"Jl. Tebet Barat Dalam, Dukuh Pakis, Surabaya (-7.306079, 112.702481)",Second,Dijual,,56707.0,Baik
Benowo,"Jalan Erlangga, Benowo, Surabaya",1466,SHM,"Jalan Erlangga, Benowo, Surabaya (-7.288945, 112.738377)",Second,Disewa,,69938.0,Baik
